CT,BTLPAD,BTLPAN,BTLWAD,BTLWAN,BTLMAD,BTLMAN
10300,422,12,197,5,225,7
20100,2610,49,1242,17,1368,32
20300,354,11,175,3,179,8
30500,859,82,553,59,306,23
40200,388,25,233,16,155,9
40500,215,13,121,8,94,5
40600,197,12,91,5,106,7
40900,659,47,348,25,311,22
50100,768,46,458,32,310,14
50600,771,47,454,30,317,17
50900,481,24,292,18,189,6
51000,451,22,278,14,173,8
51100,50,3,34,1,16,2
60300,1043,51,533,29,510,22
60500,633,26,337,9,296,17
70300,815,20,414,9,401,11
70500,920,17,469,8,451,9
70600,841,18,479,8,362,10
70800,673,9,364,6,309,3
70900,1410,29,754,12,656,17
80200,730,50,401,29,329,21
80400,510,22,257,11,253,11
80600,851,19,440,13,411,6
80700,561,11,309,2,252,9
80900,746,38,401,26,345,12
90100,817,35,426,21,391,14
90200,1142,68,649,33,493,35
90300,650,38,351,16,299,22
100500,1067,80,611,38,456,42
101100,896,36,482,15,414,21
101400,1725,84,950,41,775,43
101600,397,23,226,14,171,9
101700,665,29,403,18,262,11
101800,1383,83,777,44,606,39
110200,1803,49,987,19,816,30
110600,1412,39,782,22,630,17
111300,909,42,513,24,396,18
111400,496,19,269,14,227,5
111500,1079,56,625,36,454,20
120300,607,32,374,20,233,12
120400,277,17,163,10,114,7
120700,256,18,165,12,91,6
120800,289,17,176,12,113,5
130100,619,32,386,17,233,15
130200,389,31,247,20,142,11
130300,483,40,296,23,187,17
130400,348,25,197,10,151,15
130600,1229,77,718,40,511,37
140100,1299,26,660,8,639,18
140200,853,12,417,4,436,8
140300,1802,41,942,17,860,24
140400,1378,28,718,9,660,19
140500,825,39,475,20,350,19
140600,1765,45,938,20,827,25
140800,2454,59,1272,22,1182,37
141000,540,13,304,7,236,6
141100,785,42,423,20,362,22
141300,1998,52,1056,24,942,28
141400,2867,100,1482,42,1385,58
151600,1219,62,653,32,566,30
151700,2411,114,1266,61,1145,53
160800,991,44,507,21,484,23
160900,914,49,487,28,427,21
170200,1161,50,575,30,586,20
170600,574,32,288,18,286,14
180300,779,37,440,20,339,17
180700,801,57,439,30,362,27
190300,821,43,468,17,353,26
191100,1041,64,542,28,499,36
191400,979,68,546,37,433,31
191500,781,52,404,23,377,29
191600,1766,112,935,61,831,51
191700,1644,89,886,44,758,45
191800,2682,143,1498,69,1184,74
191900,1014,39,566,17,448,22
192000,1558,98,838,52,720,46
202200,1131,65,629,32,502,33
202300,1804,122,985,52,819,70
210700,793,50,460,33,333,17
220600,606,25,308,12,298,13
240600,929,83,471,37,458,46
241200,371,34,192,16,179,18
250300,450,10,236,6,214,4
250700,202,10,111,6,91,4
250900,409,30,226,15,183,15
260200,940,47,511,19,429,28
260700,759,33,402,14,357,19
260900,467,14,261,7,206,7
261200,563,38,291,18,272,20
261400,765,57,450,33,315,24
261500,544,34,312,17,232,17
262000,962,86,540,45,422,41
270100,1119,63,654,32,465,31
270300,651,43,367,20,284,23
270400,406,18,232,11,174,7
270800,1321,95,730,46,591,49
271500,1112,66,615,32,497,34
281400,1077,60,602,33,475,27
281500,630,46,340,23,290,23
290100,988,56,533,30,455,26
290200,2049,113,1137,60,912,53
290400,1903,126,1053,62,850,64
300100,1419,101,794,66,625,35
310200,1842,147,961,64,881,83
310300,589,36,316,20,273,16
320400,945,60,519,27,426,33
320600,1159,47,625,23,534,24
320700,854,53,450,23,404,30
401100,2585,220,1450,113,1135,107
401200,1116,93,617,59,499,34
401300,1457,115,782,61,675,54
402000,1465,133,775,69,690,64
403500,1728,132,942,73,786,59
404000,734,61,394,29,340,32
405000,683,44,348,19,335,25
406000,1337,129,694,52,643,77
407001,2694,182,1427,89,1267,93
407002,3556,214,1864,99,1692,115
408001,2891,154,1536,80,1355,74
408002,3483,124,1817,64,1666,60
409000,6394,143,3249,47,3145,96
410000,641,18,317,8,324,10
411000,3162,84,1645,32,1517,52
412001,4517,122,2336,47,2181,75
412002,2938,87,1497,34,1441,53
413100,3276,130,1715,45,1561,85
413201,1946,84,1023,35,923,49
413202,1430,56,774,30,656,26
413300,2677,138,1420,63,1257,75
413400,2498,113,1323,40,1175,73
413500,2819,162,1535,78,1284,84
414101,3211,115,1685,52,1526,63
414102,3987,200,2102,92,1885,108
414200,3303,142,1701,65,1602,77
415001,2556,103,1286,45,1270,58
415002,1494,59,777,30,717,29
416000,767,57,411,28,356,29
417100,1057,69,556,31,501,38
417200,591,48,301,20,290,28
418000,933,72,525,35,408,37
419000,1486,96,816,50,670,46
420000,720,53,427,35,293,18
421100,2772,94,1446,44,1326,50
421200,2709,90,1427,37,1282,53
422000,3357,70,1715,25,1642,45
423000,1330,38,755,24,575,14
424000,1577,92,887,54,690,38
425000,1751,94,942,41,809,53
426300,3530,202,1922,97,1608,105
426400,2457,152,1335,77,1122,75
426700,1238,95,659,44,579,51
426800,3132,188,1664,81,1468,107
427000,1446,75,804,40,642,35
427100,3253,161,1721,65,1532,96
427200,2583,144,1411,81,1172,63
428100,604,64,327,26,277,38
428200,1214,100,649,44,565,56
429100,1178,71,644,36,534,35
429201,2301,120,1201,53,1100,67
429202,2624,122,1448,57,1176,65
429300,3060,223,1680,105,1380,118
429400,2212,121,1197,53,1015,68
429500,2105,120,1199,60,906,60
429600,1652,95,928,48,724,47
429700,1240,94,659,39,581,55
430100,973,51,539,23,434,28
430200,2500,153,1380,79,1120,74
431100,1207,66,685,29,522,37
431400,790,40,445,15,345,25
431500,1182,51,644,26,538,25
432300,932,80,524,52,408,28
432400,1062,75,617,39,445,36
434000,977,29,517,16,460,13
435000,1228,74,647,34,581,40
437000,3116,107,1614,45,1502,62
439000,660,27,347,9,313,18
445500,1834,66,1030,31,804,35
446000,929,21,485,12,444,9
447000,637,15,346,7,291,8
448000,506,44,290,24,216,20
449000,1158,106,595,49,563,57
450700,1234,106,662,48,572,58
450800,995,81,541,48,454,33
451101,1761,95,954,45,807,50
451102,1756,109,923,46,833,63
451104,1798,69,940,33,858,36
451105,1657,99,864,46,793,53
451300,3857,213,2020,92,1837,121
452000,2183,119,1177,51,1006,68
453003,983,68,506,33,477,35
453004,2728,143,1470,69,1258,74
455000,768,63,393,27,375,36
456001,1067,38,569,13,498,25
456003,2278,112,1215,58,1063,54
456004,2282,116,1265,53,1017,63
457100,657,42,366,21,291,21
457200,1691,120,928,64,763,56
458000,4466,290,2404,129,2062,161
459101,890,58,462,23,428,35
459102,2867,142,1518,59,1349,83
459201,2912,153,1543,74,1369,79
459202,319,14,189,8,130,6
460001,2523,176,1381,77,1142,99
460002,2021,134,1102,58,919,76
461000,420,38,222,16,198,22
462100,1103,101,595,43,508,58
462600,1338,88,710,37,628,51
463900,973,78,536,40,437,38
464300,1451,90,783,41,668,49
464400,922,56,487,25,435,31
465600,1110,75,620,37,490,38
465800,1594,66,858,32,736,34
468700,739,42,393,20,346,22
468800,915,57,510,27,405,30
468900,1522,95,833,50,689,45
469000,2447,136,1322,56,1125,80
470300,1986,120,1104,58,882,62
470400,1635,100,906,44,729,56
470501,1273,61,705,25,568,36
470502,1667,99,906,43,761,56
470600,1353,75,718,34,635,41
471000,498,38,262,15,236,23
472100,1141,45,618,19,523,26
472200,984,40,512,22,472,18
472300,784,44,430,16,354,28
472400,1039,49,546,18,493,31
473100,2458,67,1319,32,1139,35
473200,1604,57,912,23,692,34
473300,3156,115,1738,68,1418,47
473401,1922,51,1000,22,922,29
473402,1797,63,950,29,847,34
473500,1983,59,1029,25,954,34
473601,2083,52,1116,21,967,31
473602,2442,110,1348,60,1094,50
474101,2286,62,1188,23,1098,39
474102,2071,66,1074,34,997,32
474201,1452,42,752,15,700,27
474202,2817,112,1458,41,1359,71
474203,2646,115,1378,41,1268,74
475101,2523,172,1430,93,1093,79
475102,958,46,485,17,473,29
475200,2848,166,1508,84,1340,82
475301,2458,167,1329,86,1129,81
475303,2439,150,1300,59,1139,91
475304,2996,117,1591,51,1405,66
475401,2180,146,1167,69,1013,77
475402,1757,90,940,42,817,48
476100,2293,123,1277,68,1016,55
476200,1735,117,952,56,783,61
477100,2073,139,1124,55,949,84
477200,2481,188,1365,94,1116,94
477300,3047,146,1583,63,1464,83
478100,2060,110,1086,55,974,55
478200,2934,129,1557,50,1377,79
479000,1101,74,601,38,500,36
480101,2601,135,1364,70,1237,65
480102,1730,128,951,63,779,65
480200,1950,125,1017,52,933,73
480300,1956,110,1042,60,914,50
480400,2743,200,1500,85,1243,115
481000,1403,73,782,35,621,38
482500,1016,104,554,60,462,44
483800,1172,131,693,83,479,48
484300,1501,99,821,43,680,56
484500,3223,236,1756,113,1467,123
484600,1085,76,627,47,458,29
485000,587,30,330,15,257,15
486700,810,50,495,30,315,20
486800,678,53,363,26,315,27
486900,573,46,329,28,244,18
487000,909,92,492,55,417,37
488100,1171,82,628,43,543,39
488200,1678,107,950,49,728,58
488300,1149,103,623,49,526,54
488400,2301,161,1322,88,979,73
488500,1481,106,797,44,684,62
488600,2544,190,1427,86,1117,104
489001,2585,210,1425,112,1160,98
489002,2184,112,1146,53,1038,59
490002,2498,191,1350,90,1148,101
490003,2040,100,1050,48,990,52
490004,2887,156,1531,61,1356,95
491101,4083,193,2138,78,1945,115
491200,1076,85,589,44,487,41
492700,797,66,447,32,350,34
492800,1101,109,652,66,449,43
492900,893,83,506,43,387,40
494000,702,54,400,27,302,27
495000,1005,89,533,39,472,50
496101,1802,136,962,83,840,53
496102,2561,227,1366,109,1195,118
496200,3178,233,1708,110,1470,123
497000,526,44,282,24,244,20
498000,1398,126,757,58,641,68
499300,794,66,448,32,346,34
499400,1264,127,710,64,554,63
500300,1911,136,1101,72,810,64
501000,704,70,392,43,312,27
503002,3215,293,1815,154,1400,139
504100,2178,192,1228,108,950,84
507000,955,76,524,35,431,41
508000,694,47,389,29,305,18
509400,2149,182,1227,104,922,78
510000,651,35,385,19,266,16
512000,838,85,463,39,375,46
512800,474,41,276,22,198,19
512900,440,34,253,22,187,12
513800,747,67,440,41,307,26
514000,756,55,463,32,293,23
515100,1083,67,631,34,452,33
515200,921,61,534,34,387,27
515300,763,57,475,41,288,16
515401,1117,37,655,20,462,17
516100,713,17,385,5,328,12
516200,949,29,520,15,429,14
517000,744,71,424,32,320,39
518001,2009,129,1159,74,850,55
519000,1748,104,927,41,821,63
520001,1600,139,872,69,728,70
520002,1531,121,848,62,683,59
521100,2319,167,1261,78,1058,89
521200,1983,129,1095,54,888,75
521301,1830,155,1053,86,777,69
521302,1994,123,1080,56,914,67
521401,1337,115,743,49,594,66
521402,2194,133,1145,53,1049,80
521500,2229,169,1200,85,1029,84
522000,1279,82,731,42,548,40
523100,1695,158,1004,90,691,68
523200,1878,133,1069,75,809,58
523300,1918,118,1064,56,854,62
523400,2392,161,1405,81,987,80
523501,2237,166,1236,66,1001,100
523502,734,61,425,28,309,33
523600,2408,213,1362,107,1046,106
523701,2128,158,1150,67,978,91
523702,2536,191,1414,95,1122,96
523800,2450,171,1343,76,1107,95
524000,1091,79,569,30,522,49
525100,1111,41,634,19,477,22
525200,1129,83,645,44,484,39
525300,1216,72,649,34,567,38
526101,2105,107,1119,59,986,48
526102,1065,64,548,34,517,30
526201,2184,148,1142,71,1042,77
526202,2512,147,1333,63,1179,84
526301,2252,175,1200,82,1052,93
526302,2459,148,1296,63,1163,85
550900,675,47,371,27,304,20
551200,1397,106,791,58,606,48
551300,1290,105,706,57,584,48
551900,516,47,286,30,230,17
552000,1239,90,735,50,504,40
552100,359,27,215,17,144,10
552200,479,32,280,17,199,15
552300,893,67,503,39,390,28
552400,1397,130,764,67,633,63
560400,497,33,304,19,193,14
560500,983,27,548,14,435,13
560600,401,21,232,14,169,7
561000,466,26,247,10,219,16
561100,340,16,196,7,144,9
561200,425,34,239,18,186,16
561400,1625,139,1003,79,622,60
561500,1097,82,660,48,437,34
561600,961,58,547,33,414,25
561700,303,20,157,12,146,8
561900,848,71,502,44,346,27
562000,776,42,404,24,372,18
562300,1335,102,775,61,560,41
562400,1094,72,626,39,468,33
562500,976,68,552,33,424,35
562600,1024,64,545,27,479,37
562700,448,19,241,12,207,7
562800,622,47,332,27,290,20
562900,816,52,463,29,353,23
563000,1159,89,669,46,490,43
563100,1867,106,992,58,875,48
563200,700,36,359,18,341,18
563300,887,26,462,10,425,16
563800,1845,89,998,36,847,53
563900,1963,132,1094,66,869,66
564000,1625,86,874,53,751,33
564100,517,22,261,5,256,17
564200,991,86,539,48,452,38
564400,2797,231,1529,122,1268,109
564500,806,67,440,39,366,28
980000,4,1,3,1,1,0
980100,7,0,6,0,1,0
980700,9,0,5,0,4,0
